idemp,nome,status,ano,setor,endiv1,tang1,risco,lntam,z1,mb,roa,lucrat2,higrow
139,Whirlpool S.A.,ativo,2007,Eletroeletrônicos,0.003503266,0.215473017,0.053201394,22.27353998,172.8787227,1.693268454,0.163448289,0.120534201,1
171,Eletropaulo Metropolitana El.S.Paulo S.A.,ativo,2007,Energia Elétrica,0.236956077,0.539488446,0.024990589,22.68769333,3.028754473,0.655164178,0.10979061,0.187107979,0
334,Usinas Siderurgicas de Minas Gerais S.A.,ativo,2007,Siderur & Metalur,0.023458647,0.225377159,0.045457779,22.72515359,26.43714464,1.723331479,0.153293407,0.333133325,1
169,Centrais Elet Brasileiras SA,ativo,2007,Energia Elétrica,0.244739807,0.00029782,0.005789452,22.74555935,2.024506236,0.366991276,-0.011050777,-0.141470458,0
48,Sadia S.A.,ativo,2007,Alimentos e Beb,0.193650982,0.358967569,0.029980148,22.80753222,3.737675724,1.082074688,0.032427789,0.031333456,0
330,Companhia Siderurgica Nacional,ativo,2007,Siderur & Metalur,0.176792799,0.474239251,0.022569794,22.88428114,3.565392944,1.84542096,0.112424062,0.344638895,1
442,Embraer - Emp Brasileira Aeronautica Sa.,ativo,2007,Veiculos e peças,0.150418085,0.052648754,0.051202278,22.92509856,4.209301893,1.268649448,0.0071428,0.010934938,0
338,Brasil Telecom S.A.,ativo,2007,Telecomunicações,0.248493581,0.300843484,0.021015261,22.96963755,2.890817274,1.20503478,0.118137078,0.182086523,0
76,Companhia Brasileira de Distribuicao,ativo,2007,Comércio,0.175284449,0.400158424,0.007639128,23.09662481,4.099542212,0.90730304,0.035776111,0.03463092,0
7,Companhia de Bebidas Das Americas-Ambev,ativo,2007,Alimentos e Beb,0.070986485,0.085299415,0.069562517,23.18379116,8.773099066,2.745012579,0.142974368,0.373112474,1
249,Braskem S.A.,ativo,2007,Química,0.468944475,0.384291549,0.027894294,23.21931649,1.596293892,0.71906216,0.043613048,0.059779178,0
367,Telecomunicacoes de Sao Paulo S/A-Telesp,ativo,2007,Telecomunicações,0.12491678,0.517703128,0.039528338,23.36430306,5.670612239,1.404745376,0.18634756,0.247170643,0
362,Telemar Norte Leste S/A,ativo,2007,Telecomunicações,0.268130664,0.297507021,0.011572809,23.38329982,2.814382789,1.012690108,0.125084816,0.241550839,0
216,Cia Vale do Rio Doce,ativo,2007,Mineração,0.037108137,0.24060369,0.036624643,23.80588872,16.0587452,2.405119432,0.055241763,0.295702235,1
238,Cia. Brasileira de Petroleo Ipiranga,cancelado,2007,Petróleo e Gas,0.15388702,0.195668637,0.006023298,23.83448322,10.92711479,1.141962293,0.095091622,0.013894069,0
242,Petroleo Brasileiro,ativo,2007,Petróleo e Gas,0.012768582,0.365720036,0.024302135,25.5656166,47.51218667,2.061625944,0.148682311,0.24775069,1
