idemp,nome,status,ano,setor,endiv1,tang1,risco,lntam,z1,mb,roa,lucrat2,higrow
143,Afluente Geracao e Transm de Energ Elet,ativo,2007,Energia Elétrica,0,0.709798715,,17.50526463,,3.129785113,0.254192719,0.741276383,1
218,Ceramica Chiarelli SA,ativo,2007,Minerais não Met,0.173042824,0.703338392,0.107587902,17.50743537,0.756428896,0.543691673,-0.029969651,-0.031503913,0
23,Excelsior Alimentos SA,ativo,2007,Alimentos e Beb,0.230172465,0.492688104,0.058919258,17.53314752,3.413486804,0.658738895,0.002358676,0.001457478,0
438,Bicicletas Monark SA,ativo,2007,Veiculos e peças,0,0.119332196,0.013770978,17.6261208,,1.321717361,0.009749811,0.040860596,0
115,Const Sultepa SA,ativo,2007,Construção,0.535228247,0.180163731,0.004876518,17.70896218,0.277685,0.274245946,-0.004033246,-0.04995925,0
4,Rasip Agro Pastoril s a,ativo,2007,Agro e Pesca,0.17396032,0.439935442,0.036673218,17.81742911,4.132371229,1.787232067,0.08198008,0.135568433,1
95,Even Construtora e Incorporadora S.A.,ativo,2007,Construção,0.060929721,0.008473578,,17.82920528,9.412671258,2.950666962,-0.040750154,-0.631208108,1
309,Kepler Weber SA,ativo,2007,Siderur & Metalur,0.207815953,0.045757511,0.035292036,17.92464521,2.706321353,1.746074024,-0.008191453,-0.04248366,1
310,Lupatech S.A.,ativo,2007,Siderur & Metalur,0.008212799,0.106847575,0.118643499,17.94678154,71.86882697,6.85160762,-0.077882483,-0.523973208,1
101,Inpar S.A.,ativo,2007,Construção,0.009810205,0.009321744,,17.96470624,60.69036263,2.169082784,-0.0183838,-0.246832747,1
390,Fab Tecidos Carlos Renaux SA,ativo,2007,Textil,0.668561345,0.617421193,0.062362126,17.99734694,-0.141750574,0.367290828,-0.079852295,-0.157514583,0
417,Companhia de Concessoes Rodoviarias,ativo,2007,Transporte Serviç,0.01382178,0.000768859,0.007290501,18.0161502,43.5293389,6.173201599,-0.031389201,-0.856539136,1
314,Metalgrafica Iguacu S.A.,ativo,2007,Siderur & Metalur,0.04267479,0.278512542,0.085246355,18.05995475,14.65950357,5.112564877,-0.016082089,-0.01704032,1
409,Textil Renauxview S/A,ativo,2007,Textil,0.905589216,0.496081947,0.152606444,18.08772233,-1.133259677,1.502307107,-0.046500774,-0.05281808,1
106,Lps Brasil - Consultoria de Imoveis S/A,ativo,2007,Construção,0.026840795,0.0264443,,18.15934195,22.05263309,5.370521559,0.103712695,0.433845874,1
100,Iguatemi Empresa de Shopping Centers S.A.,ativo,2007,Construção,0.130251386,0.300273817,,18.31096632,4.577138158,1.539203749,0.023009447,0.339095403,1
173,Emae-Emp.Metropolitana Aguas Energia S.A.,ativo,2007,Energia Elétrica,0.051553128,0.832609649,0.041659641,18.37973374,10.7010036,0.525896706,-0.076214919,-0.725778222,0
313,Metalurgica Duque SA,ativo,2007,Siderur & Metalur,0.198796343,0.596765345,0.03527577,18.41302149,3.714677374,1.093874623,0.057339692,0.054767879,0
459,Tupy SA,ativo,2007,Veiculos e peças,0.201794007,0.460136846,0.005267271,18.42901591,2.651461651,0.663707751,-0.003236323,-0.055049238,0
455,Metalurgica Riosulense SA,ativo,2007,Veiculos e peças,0.327874483,0.516839167,0.019649686,18.48854498,3.039437116,1.442367368,0.18006745,0.144680533,1
302,Fibam Cia Industrial,ativo,2007,Siderur & Metalur,0.145359455,0.178638322,0.045141257,18.53042265,6.330017677,1.43835752,0.215611628,0.126873897,1
333,Tekno S.A. Industria e Comercio,ativo,2007,Siderur & Metalur,0,0.071712633,0.030771141,18.65206227,,1.254282986,0.123265742,0.174119682,0
6,Slc Agricola S.A.,ativo,2007,Agro e Pesca,0.051351331,0.132536283,,18.70418159,11.70485034,2.398373032,-0.02334761,-0.114131212,1
378,Buettner S/A - Industria e Comercio,ativo,2007,Textil,0.240242069,0.172521732,0.060273064,18.70777514,2.256161904,1.047671266,0.026131802,0.029507336,0
379,Cambuci SA,ativo,2007,Textil,0.686372309,0.28089722,0.054944845,18.75510803,1.128607283,1.085780567,-0.025790033,-0.02379146,0
89,Company S/A,cancelado,2007,Construção,0.078118277,0.002492667,,18.85754115,7.739366518,2.173496679,0.002831293,0.011667873,1
241,Refinaria de Petroleo de Manguinhos S.A.,ativo,2007,Petróleo e Gas,0.287822481,0.237542562,0.14237569,18.86616112,1.191124384,0.698911885,-0.117086198,-0.194044477,0
87,Camargo Correa Desenv. Imobiliario S.A.,ativo,2007,Construção,0.044198554,0.001820683,,18.9014883,13.4433883,1.239552497,-0.029099022,-0.19733767,0
138,Trafo Equipamentos Eletricos S.A.,ativo,2007,Eletroeletrônicos,0.186126296,0.135594604,0.093728171,18.92670888,4.455627662,1.071846858,0.037665168,0.027823162,0
285,Electro Aco Altona S.A.,ativo,2007,Siderur & Metalur,0.087181595,0.429345424,0.066822807,18.93781244,8.277258778,1.512996579,0.178162801,0.12979293,1
325,Rimet Empreend. Inds. e Comerciais S/A,ativo,2007,Siderur & Metalur,0.169606053,0.177813603,0.136549148,18.95055577,4.297569439,0.718305076,0.114828001,0.090568193,0
65,Grazziotin SA,ativo,2007,Comércio,0,0.136162556,0.037299925,18.97503768,,2.316745874,0.056677903,0.057198362,1
122,Bematech Ind. e Com. de Equip. Elet. S.A.,ativo,2007,Eletroeletrônicos,0.040166012,0.0142202,,19.02883632,15.1426108,1.209263944,-0.051029889,-0.120781257,0
315,Metisa Metalurgica,ativo,2007,Siderur & Metalur,0.071149198,0.188769764,0.04920853,19.05678127,10.95056978,2.302719003,0.23335712,0.143676883,1
460,Wetzel SA,ativo,2007,Veiculos e peças,0.193450122,0.45497211,0.037381433,19.06267673,4.612669897,1.684876707,0.137426428,0.093997169,1
386,DÖhler S.A.,ativo,2007,Textil,0.151221726,0.114651857,0.060234738,19.06549865,4.419077422,0.778144894,-0.029068302,-0.046005541,0
318,Panatlantica SA,ativo,2007,Siderur & Metalur,0.149645758,0.103481095,0.146564416,19.07601182,5.558434901,0.871739041,0.068259316,0.051766038,0
380,Cia. de Fiacao e Tecidos Cedro Cachoeira,ativo,2007,Textil,0.340545536,0.194737794,0.052962798,19.22207228,1.709648185,0.58810195,-0.033730573,-0.043510841,0
190,Terna Participacoes SA,ativo,2007,Energia Elétrica,0,0,,19.23123311,,1.881062278,0.153083117,0.98407843,1
220,Eternit S. A.,ativo,2007,Minerais não Met,0.000753878,0.199132786,0.008388054,19.25365508,796.3312477,1.654358847,-0.027050343,-0.036397626,1
303,Forjas Taurus S.A.,ativo,2007,Siderur & Metalur,0.072576704,0.162187043,0.024899803,19.28113736,8.682695303,2.540927319,0.060047997,0.112289784,1
396,Karsten S.A.,ativo,2007,Textil,0.299538431,0.258816236,0.044460374,19.29162677,3.447780945,0.922746016,0.078700787,0.06482586,0
118,Construtora Tenda S/A,ativo,2007,Construção,0.014457875,0.008506487,,19.29218748,41.78020256,1.892722701,-0.015604879,-0.057485641,1
195,Bardella SA Inds Mecanicas,ativo,2007,Máquinas Indust,0.144569358,0.109341648,0.020081717,19.30250839,4.397454789,0.62248522,-0.015080296,-0.027934302,0
402,Companhia Tecidos Santanense,ativo,2007,Textil,0.383560039,0.381547064,0.088228195,19.31253533,2.544691422,0.542872918,0.076756397,0.078552251,0
112,Rossi Residencial S/A,ativo,2007,Construção,0.103193378,0.001150828,0.024644211,19.33086084,5.646471355,2.10325018,-0.020074199,-0.152195173,1
29,Cia. Iguacu de Cafe Soluvel,ativo,2007,Alimentos e Beb,0.136692988,0.240160188,0.050895086,19.35028644,4.970721141,1.433353631,-0.014270772,-0.015725219,1
263,Millennium Inorganic Chemicals do Brasil,ativo,2007,Química,0,0.467956178,0.077433805,19.38474017,,0.594407228,-0.017516725,-0.03157128,0
317,Mundial S/A - Produtos de Consumo,ativo,2007,Siderur & Metalur,0.589275503,0.305805807,0.008441998,19.40135749,0.845232537,0.278067209,0.029214898,0.092556615,0
383,Cremer S.A.,ativo,2007,Textil,0.020646438,0.095890199,,19.41037434,29.66157033,1.464420524,-0.05716402,-0.082325742,1
109,Mrv Engenharia e Participacoes S.A.,ativo,2007,Construção,0.003673671,0.006171027,,19.42539619,163.4861961,2.888680811,-0.010778183,-0.070556876,1
35,Cia Leco de Prods Alimenticios,cancelado,2007,Alimentos e Beb,0.151566981,0.52532812,0.049587524,19.45860487,4.541097972,0.645539146,0.006715978,0.005730781,0
401,Pettenati SA Ind Textil,ativo,2007,Textil,0.082696942,0.309757067,0.069202156,19.49889442,9.248322509,1.150590699,0.159519982,0.101701582,0
408,Teka Tecelagem Kuehnrich SA,ativo,2007,Textil,0.779899916,0.323829338,0.055449431,19.52062881,-0.337297745,0.35536187,-0.003219559,-0.005589196,0
223,Portobello SA,ativo,2007,Minerais não Met,0.17549027,0.378205758,0.036402096,19.56549254,3.265506974,1.402325095,-0.033536578,-0.042382673,0
227,Celulose Irani SA,ativo,2007,Papel e Celulose,0.386407808,0.497111473,0.068345828,19.64939689,1.872047134,1.267949187,0.036202877,0.051720303,0
381,Cia Hering,ativo,2007,Textil,0.343941989,0.249176876,0.018917399,19.72696552,1.893256834,0.969864659,0.022400219,0.053986128,0
15,Cia Cacique Cafe Soluvel,ativo,2007,Alimentos e Beb,0.251677473,0.294579422,0.053824593,19.77542252,3.235335201,1.066576525,0.002508074,0.002144096,0
456,Schulz S.A.,ativo,2007,Veiculos e peças,0.262307639,0.47365126,0.029670836,19.8016409,3.524158927,1.519862741,0.147173323,0.129984015,1
443,Fras-Le SA,ativo,2007,Veiculos e peças,0.181997052,0.328460503,0.041547525,19.81489615,4.710897903,1.584705497,0.136633756,0.123120881,1
202,Metalfrio Solutions S/A,ativo,2007,Máquinas Indust,0.068371832,0.068768488,,19.84815064,9.442984697,2.257674271,0.00383435,0.004639959,1
275,Companhia Providencia Ind e Comercio,ativo,2007,Química,0.30030583,0.184499929,,19.84846727,2.428089664,1.376102142,0.020476446,0.043799437,0
